,Location,Count
0,"Alameda, CA",10
1,"Allendale, NJ",2
2,"Atlanta, GA",269
3,"Austin, TX",213
4,"Bedminster, NJ",1
5,"Belmont, CA",5
6,"Berkeley, CA",19
7,"Bloomfield, NJ",1
8,"Boston, MA",629
9,"Boulder, CO",251
10,"Bronx, NY",7
11,"Brooklyn, NY",14
12,"Burlingame, CA",8
13,"Cambridge, MA",694
14,"Carlstadt, NJ",1
15,"Cedar Park, TX",1
16,"Chicago, IL",471
17,"Daly City, CA",1
18,"East Hanover, NJ",1
19,"Emeryville, CA",19
20,"Fairfield, NJ",1
21,"Florham Park, NJ",1
22,"Fort Lee, NJ",1
23,"Foster City, CA",14
24,"Fremont, CA",1
25,"Hackensack, NJ",1
26,"Harrison, NY",1
27,"Hayward, CA",10
28,"Hoboken, NJ",2
29,"Jersey City, NJ",17
30,"Kenilworth, NJ",1
31,"Kentfield, CA",1
32,"Lafayette, CA",1
33,"Little Falls, NJ",1
34,"Long Beach, NY",1
35,"Los Angeles, CA",254
36,"Lynbrook, NY",1
37,"Manhasset, NY",1
38,"Manhattan, NY",30
39,"Manhattanville, NY",1
40,"Martinez, CA",1
41,"Menlo Park, CA",14
42,"Mill Valley, CA",1
43,"Montclair, NJ",2
44,"Mountain View, CA",277
45,"Murray Hill, NJ",4
46,"New Brunswick, NJ",1
47,"New Hyde Park, NY",1
48,"New York, NY",848
49,"Newark, NJ",8
50,"Novato, CA",12
51,"Oakland, CA",34
52,"Oakland, NJ",1
53,"Orangeburg, NY",1
54,"Palisades, NY",2
55,"Parsippany, NJ",4
56,"Pleasant Hill, CA",1
57,"Port Washington, NY",1
58,"Queens, NY",15
59,"Rahway, NJ",2
60,"Redmond, WA",158
61,"Redwood City, CA",59
62,"Richmond, CA",10
63,"Ridgefield, NJ",1
64,"Roseland, NJ",1
65,"Round Rock, TX",4
66,"Rutherford, NJ",1
67,"San Bruno, CA",7
68,"San Carlos, CA",16
69,"San Diego, CA",412
70,"San Francisco Bay Area, CA",26
71,"San Francisco, CA",564
72,"San Leandro, CA",2
73,"San Mateo, CA",30
74,"San Rafael, CA",7
75,"San Ramon, CA",4
76,"Seattle, WA",777
77,"Secaucus, NJ",1
78,"Short Hills, NJ",1
79,"South Plainfield, NJ",3
80,"South San Francisco, CA",73
81,"Staten Island, NY",1
82,"Sunnyvale, CA",256
83,"Troy Hills, NJ",1
84,"Union City, CA",1
85,"Union, NJ",3
86,"Walnut Creek, CA",2
87,"Washington, DC",340
88,"West Orange, NJ",1
89,"Whippany, NJ",1
90,"Woodcliff Lake, NJ",1
91,"Yonkers, NY",1
